source,link,price
alibaba.com,https://www.alibaba.com/product-detail/Dropship-Reseller-Silicone-Cover-Skin-Protective_60767484787.html,1.2
aliexpress.com,https://www.aliexpress.com/i/1005004541253395.html,1.45
aliexpress.com,https://www.aliexpress.com/i/32831354360.html,1.63
aliexpress.com,https://www.aliexpress.com/item/32945796027.html,1.76
aliexpress.com,https://www.aliexpress.com/item/1005004807212392.html,3.04
aliexpress.com,https://wap.aliexpress.com/item/1005004631672427.html,3.56
aliexpress.com,https://www.aliexpress.com/i/1005005247632319.html,3.78
ebay.com,https://www.ebay.com/itm/374509307322,7.32
walmart.com,https://www.walmart.com/ip/Silicone-Cover-Skin-Case-for-PS4-Slim-Pro-with-2-Thumb-Grips/739762664,8.39
ebay.com,https://www.ebay.com/itm/185740379565,8.99
ebay.com,https://www.ebay.com/itm/401922870091,9.98
decalgirl.com,https://www.decalgirl.com/skins/293807/sony-ps4-controller-skin-king-of-technicolor,9.99
decalgirl.com,https://www.decalgirl.com/skins/204630/sony-ps4-controller-skin-doodles-color,9.99
kroger.com,https://www.kroger.com/p/decalgirl-ps4c-ladysunflower-sony-ps4-controller-skin-lady-sunflower/0075007190471,14.86
ebay.com,https://www.ebay.com/itm/394699802939,15.0
skinit.com,https://www.skinit.com/rainbow-tie-dye-ps4-controller-skin,15.99
skinit.com,https://www.skinit.com/watercolor-floral-ps4-controller-skin,15.99
skinit.com,https://www.skinit.com/sacred-wheel-colored-ps4-controller-skin,15.99
walmart.com,https://www.walmart.com/ip/SPBPQY-Wireless-Controller-Compatible-with-PS4-Pro-Slim-PC-Game-Remote-graffiti/708819831,16.89
walmart.com,https://www.walmart.com/ip/Wireless-Game-Controller-for-PS4-Six-Axis-Body-Sensing-Dual-Vibration-Handle-Bluetooth-Controller-Colorful/2997681377,17.99
walmart.com,https://www.walmart.com/ip/Wireless-Game-Controller-Compatible-with-P4S-Slim-Pro-with-Upgraded-Joystick-Street-Fire/1013354436,17.99
ebay.com,https://www.ebay.com/itm/144810671490,19.99
ebay.com,https://www.ebay.com/itm/364200217245,23.0
fruugo.us,https://www.fruugo.us/ps4-controller-dual-vibration-wireless-controller-for-ps4proslim-graffiti/p-111479466-235162454?language=en,34.95
ebay.com,https://www.ebay.com/itm/195711146339,36.0
alibaba.com,https://www.alibaba.com/product-detail/cartoon-Food-Grade-Silicone-Controller-Soft_1600269432837.html,42.0
walmart.com,https://www.walmart.com/ip/Powtree-2Packs-Wireless-Controller-for-PS4-Game-Controller-Compatible-with-PS-4-Slim-Pro-with-Dual-Vibration-and-6-Axis-Motion-Sensor-Multicolor/1470240312,42.99
etsy.com,https://www.etsy.com/listing/906079041/pokemon-ps4-controller,75.0
